class,count,mean              ,std               ,min  ,25%   ,50%  ,75%   ,max   ,total             
4    ,67.0 ,204.67164179104478,139.0945163788193 ,2.0  ,68.0  ,194.0,257.5 ,522.0 ,13713.0           
5    ,31.0 ,286.83870967741933,181.41648156919547,51.0 ,66.5  ,319.0,511.5 ,520.0 ,8892.0            
6    ,115.0,69.07826086956521 ,20.686951487862455,4.0  ,63.0  ,65.0 ,66.0  ,137.0 ,7944.0
14   ,232.0,87.66810344827586 ,69.38622204281285 ,1.0  ,64.0  ,65.0 ,67.0  ,393.0 ,20339.0           
16   ,170.0,72.46470588235294 ,24.257529574077488,53.0 ,64.0  ,65.0 ,66.0  ,258.0 ,12319.0           
18   ,309.0,103.24271844660194,75.75226189491929 ,2.0  ,64.0  ,66.0 ,127.0 ,327.0 ,31902.0           
20   ,230.0,69.52608695652174 ,24.890444973860397,4.0  ,63.0  ,65.0 ,66.0  ,259.0 ,15991.0           
22   ,225.0,210.67111111111112,174.95100924236084,43.0 ,127.0 ,130.0,260.0 ,1172.0,47401.0           
23   ,42.0 ,264.1904761904762 ,155.53138466046607,65.0 ,129.25,259.5,326.0 ,522.0 ,11096.0           
26   ,39.0 ,215.2051282051282 ,76.50186770584841 ,118.0,130.0 ,195.0,261.0 ,326.0 ,8393.0            
35   ,144.0,106.82638888888889,38.5987662147672  ,58.0 ,65.0  ,127.0,130.0 ,196.0 ,15383.0           
39   ,100.0,153.36            ,90.16444236319921 ,1.0  ,65.0  ,130.5,250.75,327.0 ,15336.0
40   ,81.0 ,236.82716049382717,298.2273373671274 ,63.0 ,129.0 ,136.0,195.0 ,2149.0,19183.0           
42   ,53.0 ,415.35849056603774,213.45212887379392,10.0 ,198.0 ,567.0,586.0 ,775.0 ,22014.0           
43   ,45.0 ,824.0666666666667 ,279.1392125803897 ,446.0,705.0 ,769.0,910.0 ,1301.0,37083.0           
44   ,47.0 ,613.7021276595744 ,260.20108569215205,128.0,509.0 ,575.0,894.5 ,978.0 ,28844.0           
49   ,55.0 ,255.38181818181818,135.45321604662524,126.0,130.0 ,196.0,322.0 ,521.0 ,14046.0           
62   ,29.0 ,431.44827586206895,226.80381487829902,5.0  ,194.0 ,576.0,637.0 ,655.0 ,12512.0           
72   ,19.0 ,521.0526315789474 ,193.89615596562405,320.0,323.0 ,587.0,709.0 ,718.0 ,9900.0            
74   ,435.0,211.23218390804598,180.0485440776521 ,1.0  ,127.0 ,186.0,259.0 ,1105.0,91886.0           
     
