class,count,mean              ,std               ,min  ,25%   ,50%   ,75%   ,max   ,total   
5    ,28.0 ,292.85714285714283,139.8413689349774 ,67.0 ,130.0 ,322.0 ,447.5 ,456.0 ,8200.0  
10   ,96.0 ,128.83333333333334,75.53300661114515 ,63.0 ,66.0  ,129.0 ,130.0 ,391.0 ,12368.0 
12   ,40.0 ,193.575           ,156.0548699525184 ,1.0  ,66.75 ,129.0 ,305.75,456.0 ,7743.0  
14   ,187.0,80.32620320855615 ,37.24527115861711 ,1.0  ,64.0  ,65.0  ,67.0  ,198.0 ,15021.0 
15   ,197.0,65.30964467005076 ,11.2086227000591  ,8.0  ,64.0  ,65.0  ,66.0  ,133.0 ,12866.0 
18   ,214.0,107.57943925233644,76.369258296972   ,2.0  ,64.0  ,65.5  ,130.0 ,327.0 ,23022.0 
19   ,209.0,63.6267942583732  ,7.419079468140393 ,2.0  ,64.0  ,65.0  ,65.0  ,75.0  ,13298.0 
22   ,191.0,208.92146596858638,148.61815823727468,60.0 ,128.0 ,190.0 ,257.0 ,782.0 ,39904.0 
23   ,29.0 ,271.44827586206895,169.6825999596424 ,124.0,130.0 ,194.0 ,511.0 ,521.0 ,7872.0  
26   ,39.0 ,215.23076923076923,76.63394243808183 ,122.0,130.5 ,196.0 ,261.0 ,328.0 ,8394.0  
27   ,38.0 ,258.2631578947368 ,149.16319454199953,128.0,129.25,253.5 ,446.5 ,649.0 ,9814.0  
28   ,118.0,66.19491525423729 ,8.663962570824863 ,59.0 ,64.0  ,65.0  ,66.0  ,130.0 ,7811.0  
35   ,99.0 ,114.4949494949495 ,39.1283533445583  ,62.0 ,65.0  ,129.0 ,130.0 ,196.0 ,11335.0 
37   ,39.0 ,218.15384615384616,116.57063331134172,61.0 ,129.5 ,195.0 ,261.5 ,392.0 ,8508.0  
39   ,61.0 ,199.7377049180328 ,94.7915083467122  ,3.0  ,129.0 ,195.0 ,260.0 ,326.0 ,12184.0 
40   ,82.0 ,243.8048780487805 ,258.39573626343133,2.0  ,130.0 ,191.0 ,205.5 ,1690.0,19992.0 
42   ,61.0 ,640.8852459016393 ,504.22776263512293,8.0  ,258.0 ,577.0 ,649.0 ,2016.0,39094.0 
43   ,50.0 ,803.0             ,290.80668942141773,8.0  ,699.75,770.0 ,910.0 ,1301.0,40150.0 
44   ,53.0 ,616.377358490566  ,261.33232794920303,126.0,388.0 ,583.0 ,897.0 ,977.0 ,32668.0 
47   ,245.0,389.8857142857143 ,334.5318407252385 ,3.0  ,129.0 ,324.0 ,521.0 ,1365.0,95522.0 
49   ,75.0 ,243.94666666666666,142.57912865468046,122.0,130.0 ,193.0 ,260.0 ,521.0 ,18296.0 
52   ,59.0 ,201.33898305084745,195.4755130770631 ,4.0  ,64.0  ,65.0  ,390.0 ,651.0 ,11879.0 
53   ,77.0 ,184.94805194805195,103.01786969462299,2.0  ,128.0 ,192.0 ,252.0 ,391.0 ,14241.0 
61   ,267.0,986.2509363295881 ,1182.2758513451638,11.0 ,195.5 ,576.0 ,1559.0,5461.0,263329.0
62   ,31.0 ,674.7741935483871 ,401.23938903331504,5.0  ,584.0 ,640.0 ,831.5 ,2469.0,20918.0 
71   ,19.0 ,624.4736842105264 ,168.85640461681328,446.0,453.5 ,765.0 ,773.0 ,845.0 ,11865.0 
73   ,19.0 ,882.9473684210526 ,253.8891870447531 ,307.0,704.5 ,1021.0,1040.0,1496.0,16776.0 
74   ,304.0,191.82236842105263,128.6760509910935 ,2.0  ,127.0 ,131.0 ,259.0 ,845.0 ,58314.0 
     
